seconds_after_operational,left_raw_i16,right_raw_i16,status_hex
25.542029,0,-914,14211421
25.591975,0,-818,14211421
25.641923,0,-722,14211421
25.691873,0,-632,14211421
25.741822,0,-539,14211421
25.791771,0,-453,14211421
25.841715,0,-343,14211421
25.891667,0,-239,14211421
25.941614,0,-407,14211421
25.991557,0,-852,14211421
26.041508,0,-1007,14211421
26.091460,0,-933,14211421
26.141405,0,-836,14211421
26.191418,0,-736,14211421
26.241373,0,-637,14211421
26.291373,0,-540,14211421
26.341330,0,-444,14211421
26.391332,0,-329,14211421
26.441287,0,-301,14211421
26.491292,0,-635,14211421
26.541245,-2,-890,14211421
26.591247,1,-844,14211421
26.641207,0,-753,14211421
26.691209,0,-663,14211421
26.741165,0,-571,14211421
26.791168,0,-484,14211421
26.841119,0,-396,14211421
26.891124,0,-292,14211421
26.941132,0,-175,14211421
26.991084,0,-305,14211421
27.041037,0,-711,14211421
27.091044,0,-902,14211421
27.141000,0,-858,14211421
27.191002,0,-764,14211421
27.240955,0,-664,14211421
27.290960,0,-568,14211421
27.340970,0,-470,14211421
27.390917,0,-376,14211421
27.440869,0,-264,14211421
27.490878,0,-125,14211421
27.540886,0,-397,14211421
27.590834,0,-883,14211421
27.640784,-4,-964,14211421
27.690791,1,-884,14211421
27.740749,0,-793,14211421
27.790758,0,-700,14211421
27.840703,0,-611,14211421
27.890711,0,-518,14211421
27.940675,0,-404,14211421
27.990672,0,-257,14211421
28.040629,0,-337,14211421
28.090629,0,-652,14211421
28.140576,0,-806,14211421
28.190527,0,-775,14211421
28.240474,0,-682,14211421
28.290421,0,-584,14211421
28.340371,0,-489,14211421
28.390319,0,-393,14211421
28.440265,0,-298,14211421
28.490213,0,-164,14211421
28.540161,0,-39,14211421
28.590112,0,-161,14211421
28.640053,0,-330,14211421
28.690007,0,-412,14211421
28.739954,0,-496,14211421
28.789902,0,-496,14211421
28.839853,0,-404,14211421
28.889797,0,-317,14211421
28.939751,0,-217,14211421
28.989696,0,-141,14211421
29.039641,0,-36,14211421
29.089593,0,-201,14211421
29.139537,0,-586,14211421
29.189488,0,-788,14211421
29.239436,0,-776,14211421
29.289386,0,-689,14211421
29.339327,0,-596,14211421
29.389280,0,-506,14211421
29.439228,0,-413,14211421
29.489172,0,-325,14211421
29.539126,0,-225,14211421
29.589068,0,-122,14211421
29.639022,0,-45,14211421
29.688968,0,-305,14211421
29.738918,0,-641,14211421
29.788861,2,-819,14211421
29.838811,0,-846,14211421
29.888761,0,-752,14211421
29.938708,0,-653,14211421
29.988656,0,-557,14211421
30.038606,0,-462,14211421
30.088554,0,-367,14211421
30.138502,0,-245,14211421
30.188450,0,-194,14211421
30.238396,0,-434,14211421
30.288345,0,-772,14211421
30.338293,0,-859,14211421
30.388240,0,-788,14211421
30.438191,0,-698,14211421
30.488134,0,-607,14211421
30.538087,0,-515,14211421
30.588034,0,-422,14211421
30.637979,0,-334,14211421
30.687929,0,-202,14211421
30.737881,0,-193,14211421
30.787827,0,-445,14211421
30.837774,0,-658,14211421
30.887720,0,-793,14211421
30.937670,0,-774,14211421
30.987620,0,-675,14211421
31.037565,0,-579,14211421
31.087515,0,-482,14211421
31.137465,0,-388,14211421
31.187409,0,-296,14211421
31.237359,0,-164,14211421
31.287309,0,-150,14211421
31.337254,0,-378,14211421
31.387206,0,-608,14211421
31.437151,0,-766,14211421
31.487098,0,-789,14211421
31.537047,0,-702,14211421
31.586996,0,-613,14211421
31.636943,0,-523,14211421
31.686891,0,-435,14211421
31.736838,0,-345,14211421
31.786788,0,-246,14211421
31.836735,0,-152,14211421
31.886682,0,-267,14211421
31.936630,0,-571,14211421
31.986584,0,-723,14211421
32.036528,0,-759,14211421
32.086477,0,-680,14211421
32.136424,0,-582,14211421
32.186374,0,-487,14211421
32.236324,0,-391,14211421
32.286266,0,-294,14211421
32.336216,0,-171,14211421
32.386166,0,-57,14211421
32.436113,0,-261,14211421
32.486063,0,-491,14211421
32.536009,0,-654,14211421
32.585956,0,-717,14211421
32.635906,0,-644,14211421
32.685852,0,-552,14211421
32.735801,0,-461,14211421
32.785747,0,-374,14211421
32.835695,0,-287,14211421
32.885647,0,-208,14211421
32.935591,0,-114,14211421
32.985542,0,-28,14211421
33.035490,0,-232,14211421
33.085444,0,-505,14211421
33.135389,0,-666,14211421
33.185335,0,-735,14211421
33.235283,0,-647,14211421
33.285229,0,-551,14211421
33.335177,0,-458,14211421
33.385126,0,-364,14211421
33.435137,0,-252,14211421
33.485085,0,-108,14211421
33.535035,0,-148,14211421
33.584986,0,-448,14211421
33.634933,0,-747,14211421
33.684877,0,-838,14211421
33.734825,0,-754,14211421
33.784780,0,-657,14211421
33.834720,0,-563,14211421
33.884673,0,-470,14211421
33.934618,0,-380,14211421
33.984566,0,-293,14211421
34.034513,0,-171,14211421
34.084464,0,-181,14211421
34.134410,0,-421,14211421
34.184357,0,-619,14211421
34.234309,0,-727,14211421
34.284255,0,-710,14211421
34.334205,0,-620,14211421
